"ID","Dam","Sire"
"701",NA,NA
"32-99",NA,NA
"0572-00",NA,NA
"Norsk 5",NA,NA
"Norsk 6",NA,NA
"Norsk 4",NA,NA
"0633-07",NA,NA
"84D093",NA,NA
"0063-08",NA,NA
"Norsk 2",NA,NA
"0518-08",NA,NA
"Norsk 3",NA,NA
"89D381",NA,NA
"89D378",NA,NA
"89D380",NA,NA
"87D225",NA,NA
"01D212",NA,NA
"418-00",NA,NA
"678-98",NA,NA
"0561-05",NA,NA
"Norsk 1",NA,NA
"0040-08",NA,NA
"PUTTE",NA,NA
"BULL",NA,NA
"BILL",NA,NA
"PILOT",NA,NA
"0023-08",NA,NA
"0533-08",NA,NA
"SLUGGO",NA,NA
"0105-07",NA,NA
"YOGHURT",NA,NA
"JIMMY",NA,NA
"PLUPP",NA,NA
"IDEFIX",NA,NA
"0100-07","701","418-00"
"0204-04","32-99","678-98"
"0633-06","0572-00","0561-05"
"08D478","Norsk 5","Norsk 1"
"08D479","Norsk 5","Norsk 1"
"08D480","Norsk 6","Norsk 1"
"09D423","Norsk 4","Norsk 1"
"09D426",NA,"Norsk 1"
"10D502",NA,NA
"10D503",NA,NA
"10D504","0633-07","0040-08"
"81D367",NA,"PUTTE"
"84D158",NA,"PUTTE"
"85D155",NA,"BULL"
"85D299",NA,"BILL"
"88D073",NA,"BILL"
"88D162",NA,"BULL"
"88D241",NA,"BILL"
"88D317",NA,"BULL"
"88D475",NA,"PILOT"
"89D123","84D093","BULL"
"AKIDO","0063-08","0023-08"
"DRAGAN","Norsk 2","Norsk 1"
"GEORGE","0518-08","0533-08"
"JOEY","Norsk 3","Norsk 1"
"KALLE2",NA,"PUTTE"
"KARSTEN",NA,"Norsk 1"
"LOFFE",NA,"PUTTE"
"OSCAR",NA,"PUTTE"
"SIGGE",NA,NA
"SUNE",NA,NA
"VICKE",NA,"SLUGGO"
"10D501","0633-06","0105-07"
"11D295","09D426","AKIDO"
"11D296","09D426","AKIDO"
"11D297","09D426","AKIDO"
"11D298","09D426","AKIDO"
"11D299","09D426","AKIDO"
"11D300","09D426","AKIDO"
"11D301","09D426","AKIDO"
"84D105",NA,"VICKE"
"84D226",NA,"KALLE2"
"86D064",NA,"OSCAR"
"88D221","85D155","OSCAR"
"88D364",NA,"OSCAR"
"91D038","88D162","SUNE"
"91D049","85D299","SUNE"
"91D461","88D475","YOGHURT"
"92D002","88D317","SUNE"
"92D237","85D299","SUNE"
"92D319","89D123","YOGHURT"
"93D253","89D123","SUNE"
"BALOO","81D367","PUTTE"
"DRUTTEN",NA,"KALLE2"
"LUKAS","85D299","PILOT"
"MUSSE","0204-04","0100-07"
"PLUTO",NA,"KALLE2"
"PONTUS",NA,"LOFFE"
"SMUGLER","88D162","OSCAR"
"STYRMAN","88D073","PILOT"
"TUDOR","89D123","SUNE"
"VILLE","84D158","OSCAR"
"85D050",NA,"DRUTTEN"
"85D206",NA,"PLUTO"
"87D071","86D064","BALOO"
"87D269",NA,"PONTUS"
"87D273",NA,"PONTUS"
"90D055",NA,"LUKAS"
"90D108","84D105","BULL"
"91D251","89D123","SMUGLER"
"91D331",NA,"SMUGLER"
"91D353","85D155","DRUTTEN"
"92D131","88D221","LUKAS"
"92D165","89D381","STYRMAN"
"92D222","88D317","STYRMAN"
"93D096","88D221","DRUTTEN"
"94D082","92D002","DRUTTEN"
"99D295","91D461","SIGGE"
"ASTERIX","91D038","SMUGLER"
"DENTIST",NA,"DRUTTEN"
"FRISKUS",NA,"DRUTTEN"
"KNOLL","93D253","LUKAS"
"NICKI",NA,"SMUGLER"
"SNORRE","84D226","DRUTTEN"
"88D189","85D050","BILL"
"88D472","87D273","DRUTTEN"
"90D011","87D071","JIMMY"
"90D096","85D206","LUKAS"
"91D022","88D241","FRISKUS"
"91D425","88D317","SNORRE"
"92D234","85D206","LUKAS"
"92D385","89D378","SNORRE"
"96D193","90D108","SIGGE"
"98D093","90D055","SIGGE"
"98D181","91D251","SIGGE"
"99D254","94D082","SIGGE"
"ALBAN","93D096","SNORRE"
"KASPER","88D364","FRISKUS"
"LUDDE","84D093","SNORRE"
"PAJAS","84D158","DENTIST"
"PUH","85D206","DRUTTEN"
"RASMUS",NA,"FRISKUS"
"STRIX","91D353","LUKAS"
"00D032","98D093","VILLE"
"01D019","96D193","VILLE"
"01D277","92D165","RASMUS"
"91D313","88D189","OSCAR"
"91D369","88D472","STYRMAN"
"92D009","90D096","SMUGLER"
"92D365","90D011","SIGGE"
"92D429","89D380","RASMUS"
"93D380","90D011","NICKI"
"95D170","91D049","PUH"
"97D213","92D319","PUH"
"99D090","91D022","SIGGE"
"BASIL","92D165","PUH"
"BUSTER","87D225","PUH"
"MASSE","92D385","VILLE"
"QUICK","91D251","PUH"
"RAMBO","91D425","STYRMAN"
"TOTT","92D222","PAJAS"
"00D182","95D170","MASSE"
"01D035","95D170","RASMUS"
"01D042","91D369","SIGGE"
"01D177","92D131","QUICK"
"01d212","98D093","MASSE"
"02D100","98D093","QUICK"
"02D145","01D019","ALBAN"
"95D036","92D234","BUSTER"
"95D274","92D365","TUDOR"
"96D094","91D313","SIGGE"
"96D461","87D269","RAMBO"
"99D104","97D213","LUDDE"
"BIRK","99D254","BASIL"
"KNASEN","91D313","SIGGE"
"PRIMUS","97D213","LUDDE"
"TAMMY","93D380","STRIX"
"TURBO","92D429","KASPER"
"01D217","99D104","ALBAN"
"02D181","95D274","QUICK"
"02D349","96D094","STRIX"
"03D206","00D182","KNOLL"
"04D035","01D019","PRIMUS"
"04D056","95D036","KNASEN"
"04D217","01D035","KNASEN"
"11D163","10D501","BIRK"
"11D164","10D501","BIRK"
"11D165","10D501","BIRK"
"11D166","10D501","BIRK"
"11D167","10D501","BIRK"
"97D080","95D274","ASTERIX"
"99D045","91D331","KNASEN"
"99D055","95D274","ASTERIX"
"99D059","95D274","ASTERIX"
"BASSE","96D461","MASSE"
"KJELLE","92D009","TURBO"
"KNUTTE","95D274","ASTERIX"
"PILSNER","96D461","RASMUS"
"PRILLAN","95D274","QUICK"
"00D279","99D055","STRIX"
"01D201","99D055","RASMUS"
"01D347","99D045","PUH"
"02D246","99D059","KJELLE"
"02D264","99D055","TOTT"
"03D062","97D080","QUICK"
"03D063","97D080","QUICK"
"03D136","00D032","KNUTTE"
"03D197","97D213","KJELLE"
"04D188","01D212","PILSNER"
"04D362","01D177","KNUTTE"
"04D363","01D177","KNUTTE"
"04D419","03D206","PILSNER"
"05D190","99D059","PRILLAN"
"05D196","01D042","PILSNER"
"05D425","02D349","PRIMUS"
"06D273","01D042","KJELLE"
"07D164","02D100","PILSNER"
"11D018","02D181","DRAGAN"
"11D019","02D181","DRAGAN"
"11D020","02D181","DRAGAN"
"11D021","02D181","DRAGAN"
"11D145","02D100","PILSNER"
"11D146","02D100","PILSNER"
"JULLE","01D217","KNASEN"
"SNODDAS","92D237","KNUTTE"
"SPRUTT","99D055","RASMUS"
"TOMSON","99D045","ALBAN"
"TROMB","97D080","KNOLL"
"00D220","98D093","SNODDAS"
"03D021","99D295","SPRUTT"
"03D202","96D094","TROMB"
"03D315","00D279","PRILLAN"
"03D333","99D090","SPRUTT"
"03D378","99D295","SPRUTT"
"04D265","01D277","TROMB"
"05D041","01D201","BASIL"
"05D109","02D264","PILSNER"
"05D118","02D100","TOMSON"
"05D292","98D181","TROMB"
"05D310","01D347","SNODDAS"
"05D354","02D181","TROMB"
"05D373","99D090","SNODDAS"
"05D380","01D212","SPRUTT"
"05D417","02D246","PILSNER"
"05D428","01D277","TROMB"
"05D437","02D100","SNODDAS"
"06D087","01D347","TROMB"
"06D098","03D062","PILSNER"
"06D287","02D145","SPRUTT"
"06D292","03D197","BIRK"
"06D341","01D347","TROMB"
"07D032","03D136","QUICK"
"07D130","01D212","JULLE"
"08D156","04D419","SNODDAS"
"08D360","00D032","SNODDAS"
"08D366","01D347","SPRUTT"
"09D090","04D363","PILSNER"
"09D359","04D363","PILSNER"
"10D147","03D062","PILSNER"
"10D266","09D423","SPRUTT"
"10D408","06D273","SPRUTT"
"10D409","06D273","SPRUTT"
"11D078","04D363","PILSNER"
"11D079","04D363","PILSNER"
"11D080","04D363","PILSNER"
"11D081","04D363","PILSNER"
"11D082","04D363","PILSNER"
"11D084","04D363","PILSNER"
"11D085","04D363","PILSNER"
"11D316","05D425","GEORGE"
"11D325","05D425","GEORGE"
"11D355","04D363","MUSSE"
"11D356","04D363","MUSSE"
"11D357","04D363","MUSSE"
"11D358","04D363","MUSSE"
"11D359","04D363","MUSSE"
"11D361","04D363","MUSSE"
"MIROX","01D347","TOTT"
"PINO","03D062","PILSNER"
"SPOTT","01D347","SPRUTT"
"05D220","03D202","QUICK"
"05D450","03D378","PRILLAN"
"06D009","03D202","SNODDAS"
"07D100","03D378","SNODDAS"
"07D196","04D362","MIROX"
"07D428","05D118","MIROX"
"08D080","05D425","MIROX"
"08D149","05D118","SPRUTT"
"08D258","00D220","TAMMY"
"08D392","05D428","BASSE"
"08D411","03D136","PINO"
"10D117","02D145","PINO"
"10D176","03D021","JOEY"
"10D277","07D130","JOEY"
"10D283","06D087","PILSNER"
"10D289","05D373","BASSE"
"10D296","04D056","PINO"
"10D426","05D437","SPOTT"
"10D427","05D437","SPOTT"
"10D428","05D437","SPOTT"
"10D429","05D437","SPOTT"
"10D481","08D366","BASSE"
"10D482","08D366","BASSE"
"10D483","08D366","BASSE"
"10D485","08D366","BASSE"
"10D486","08D366","BASSE"
"11D025","03D021","JOEY"
"11D029","03D021","JOEY"
"11D030","03D021","JOEY"
"11D031","03D021","JOEY"
"11D066","05D118","PINO"
"11D067","05D118","PINO"
"11D068","05D118","PINO"
"11D070","05D118","PINO"
"11D142","05D354","KARSTEN"
"11D143","05D354","KARSTEN"
"11D144","05D354","KARSTEN"
"11D215","04D265","JOEY"
"11D216","04D265","JOEY"
"11D234","05D437","PILSNER"
"11D235","05D437","PILSNER"
"11D236","05D437","PILSNER"
"11D237","05D437","PILSNER"
"11D238","05D437","PILSNER"
"11D249","08D366","MUSSE"
"11D250","08D366","MUSSE"
"11D251","08D366","MUSSE"
"11D252","08D366","MUSSE"
"11D253","08D366","MUSSE"
"11D254","08D366","MUSSE"
"11D286","05D428","BASSE"
"11D287","05D428","BASSE"
"11D289","09D090","JOEY"
"11D290","09D090","JOEY"
"11D291","09D090","JOEY"
"11D292","09D090","JOEY"
"11D293","09D090","JOEY"
"11D294","09D090","JOEY"
"11D302","05D118","KARSTEN"
"11D303","05D118","KARSTEN"
"11D304","05D118","KARSTEN"
"11D305","05D118","KARSTEN"
"11D348","10D503","PINO"
"BAX","05D292","BASSE"
"BIKE","03D333","BASIL"
"JALLE","05D437","JULLE"
"JAMES","03D021","JOEY"
"MILLE","04D217","MIROX"
"SNOOPY","05D109","SNODDAS"
"SPIKEN","03D315","KJELLE"
"07D435","03D378","SPIKEN"
"08D103","05D428","SPIKEN"
"08D141","05D380","SPIKEN"
"08D191","06D098","SPIKEN"
"08D304","06D009","TAMMY"
"08D315","05D450","BASSE"
"08D400","05D354","MILLE"
"09D013","07D100","BASSE"
"09D018","04D035","SPIKEN"
"09D029","03D206","MILLE"
"09D173","02D246","MILLE"
"09D180","05D109","BIKE"
"09D231","06D098","JALLE"
"09D286","02D145","SNOOPY"
"09D304","05D450","MILLE"
"09D369","05D425","SNOOPY"
"09D389","05D109","JALLE"
"09D410","05D041","JALLE"
"10D130","06D341","BIKE"
"10D214","06D009","BASSE"
"10D222","05D220","PILSNER"
"10D224","05D220","PILSNER"
"10D256","06D292","SNOOPY"
"10D326","08D479","SNOOPY"
"10D331","08D480","MILLE"
"10D338","08D149","BIRK"
"10D367","04D188","SPIKEN"
"10D368","07D164","MILLE"
"10D369","07D164","MILLE"
"10D372","07D164","MILLE"
"10D375","07D164","MILLE"
"10D378","08D258","BIKE"
"10D380","08D258","BIKE"
"10D388","05D417","JALLE"
"10D389","05D417","JALLE"
"10D392","05D417","JALLE"
"10D394","08D392","KARSTEN"
"10D396","08D392","KARSTEN"
"10D397","08D392","KARSTEN"
"10D433","05D292","BIKE"
"10D434","05D292","BIKE"
"10D437","05D450","BASSE"
"10D438","05D450","BASSE"
"10D439","05D450","BASSE"
"10D440","05D450","BASSE"
"10D444","08D411","BIRK"
"10D445","08D411","BIRK"
"10D446","08D411","BIRK"
"10D447","08D411","BIRK"
"10D448","08D411","BIRK"
"10D451","08D411","BIRK"
"10D457","08D080","SNOOPY"
"10D462","03D378","MILLE"
"10D463","03D378","MILLE"
"10D487","09D090","JALLE"
"10D488","09D090","JALLE"
"10D490","09D090","JALLE"
"10D491","09D090","JALLE"
"11D003","04D362","BIKE"
"11D004","04D362","BIKE"
"11D005","04D362","BIKE"
"11D006","04D362","BIKE"
"11D035","05D220","SNOOPY"
"11D036","05D220","SNOOPY"
"11D039","05D220","SNOOPY"
"11D046","06D009","PILSNER"
"11D047","06D009","PILSNER"
"11D048","06D009","PILSNER"
"11D050","06D009","PILSNER"
"11D109","07D100","DRAGAN"
"11D110","07D100","DRAGAN"
"11D111","07D100","DRAGAN"
"11D112","07D100","DRAGAN"
"11D113","07D100","DRAGAN"
"11D122","07D196","BASSE"
"11D123","07D196","BASSE"
"11D124","07D196","BASSE"
"11D126","08D149","JOEY"
"11D129","08D149","JOEY"
"11D130","08D149","JOEY"
"11D134","04D035","SNOOPY"
"11D136","07D130","SPIKEN"
"11D137","07D130","SPIKEN"
"11D138","07D130","SPIKEN"
"11D139","07D130","SPIKEN"
"11D140","09D359","BIKE"
"11D141","09D359","BIKE"
"11D147","07D032","MILLE"
"11D148","07D032","MILLE"
"11D149","07D032","MILLE"
"11D152","07D032","MILLE"
"11D175","05D450","DRAGAN"
"11D176","05D450","DRAGAN"
"11D177","05D450","DRAGAN"
"11D178","05D450","DRAGAN"
"11D179","05D450","DRAGAN"
"11D184","08D258","PINO"
"11D185","08D258","PINO"
"11D186","08D258","PINO"
"11D187","08D258","PINO"
"11D189","08D258","PINO"
"11D190","08D258","PINO"
"11D198","05D196","SPIKEN"
"11D199","05D196","SPIKEN"
"11D200","05D196","SPIKEN"
"11D201","05D196","SPIKEN"
"11D202","05D196","SPIKEN"
"11D203","05D196","SPIKEN"
"11D204","05D196","SPIKEN"
"11D211","08D478","SNOOPY"
"11D212","08D478","SNOOPY"
"11D213","08D478","SNOOPY"
"11D214","08D478","SNOOPY"
"11D239","05D041","BAX"
"11D240","05D041","BAX"
"11D241","05D041","BAX"
"11D242","05D041","BAX"
"11D243","05D041","BAX"
"11D244","05D109","JALLE"
"11D245","05D109","JALLE"
"11D246","05D109","JALLE"
"11D247","05D109","JALLE"
"11D270","10D117","JAMES"
"11D271","10D117","JAMES"
"11D277","10D504","SNOOPY"
"11D278","10D504","SNOOPY"
"11D279","10D504","SNOOPY"
"11D280","10D504","SNOOPY"
"11D317","08D360","JAMES"
"11D318","08D360","JAMES"
"11D319","08D360","JAMES"
"11D320","08D360","JAMES"
"11D321","08D360","JAMES"
"11D322","08D360","JAMES"
"11D323","08D360","JAMES"
"11D324","08D360","JAMES"
"11D331","05D220","DRAGAN"
"11D332","05D220","DRAGAN"
"11D333","05D220","DRAGAN"
"11D334","05D220","DRAGAN"
"11D335","05D220","DRAGAN"
"11D336","05D220","DRAGAN"
"11D367","04D035","SPIKEN"
"JAY","07D032","MILLE"
"MYSEN","05D373","MILLE"
"SHAGGY","07D428","SNOOPY"
"SKRUVEN","05D310","SPIKEN"
"09D040","07D435","MIROX"
"09D275","08D103","BIRK"
"09D318","03D333","SKRUVEN"
"10D033","05D196","SHAGGY"
"10D055","08D103","JALLE"
"10D092","07D435","JALLE"
"10D197","08D141","DRAGAN"
"10D198","08D141","DRAGAN"
"10D219","05D425","SHAGGY"
"10D236","08D191","BIRK"
"10D265","08D478","SKRUVEN"
"10D307","09D180","JULLE"
"10D342","07D435","JALLE"
"10D343","04D035","SHAGGY"
"10D346","08D103","MYSEN"
"10D350","08D103","MYSEN"
"10D351","08D103","MYSEN"
"10D352","08D103","MYSEN"
"10D355","03D333","SKRUVEN"
"10D362","07D435","JOEY"
"10D364","07D435","JOEY"
"10D384","08D304","DRAGAN"
"10D385","08D304","DRAGAN"
"10D386","08D304","DRAGAN"
"10D411","08D400","PILSNER"
"10D413","08D400","PILSNER"
"10D416","08D400","PILSNER"
"10D417","08D315","SHAGGY"
"10D418","08D315","SHAGGY"
"10D422","08D315","SHAGGY"
"10D452","05D109","SKRUVEN"
"10D453","05D109","SKRUVEN"
"10D454","05D190","SKRUVEN"
"10D455","05D109","SKRUVEN"
"10D465","09D029","KARSTEN"
"10D468","09D029","KARSTEN"
"10D469","09D029","KARSTEN"
"10D470","09D029","KARSTEN"
"10D472","09D029","KARSTEN"
"10D473","09D029","KARSTEN"
"11D001","09D369","BIRK"
"11D007","09D018","JOEY"
"11D009","09D018","JOEY"
"11D011","09D018","JOEY"
"11D014","09D231","SPIKEN"
"11D015","09D231","SPIKEN"
"11D017","09D231","SPIKEN"
"11D032","05D425","SKRUVEN"
"11D033","05D425","SKRUVEN"
"11D034","05D425","SKRUVEN"
"11D051","09D389","BIKE"
"11D053","09D389","BIKE"
"11D054","09D389","BIKE"
"11D055","09D389","BIKE"
"11D056","09D389","BIKE"
"11D058","09D304","BAX"
"11D060","09D304","BAX"
"11D062","05D428","SHAGGY"
"11D071","08D141","BIRK"
"11D072","08D141","BIRK"
"11D073","08D141","BIRK"
"11D074","08D141","BIRK"
"11D075","06D287","MYSEN"
"11D076","06D287","MYSEN"
"11D077","06D287","MYSEN"
"11D086","09D173","BASSE"
"11D087","09D173","BASSE"
"11D088","09D173","BASSE"
"11D089","09D013","SPIKEN"
"11D090","09D013","SPIKEN"
"11D092","09D013","SPIKEN"
"11D093","09D013","SPIKEN"
"11D094","06D098","MYSEN"
"11D096","06D098","MYSEN"
"11D097","06D098","MYSEN"
"11D098","06D098","MYSEN"
"11D099","06D098","MYSEN"
"11D100","06D098","MYSEN"
"11D101","06D098","MYSEN"
"11D102","08D479","SHAGGY"
"11D103","08D479","SHAGGY"
"11D104","08D479","SHAGGY"
"11D108","08D479","SHAGGY"
"11D118","07D435","KARSTEN"
"11D119","07D435","KARSTEN"
"11D120","07D435","KARSTEN"
"11D121","07D435","KARSTEN"
"11D131","08D103","JALLE"
"11D132","08D103","JALLE"
"11D133","08D103","JALLE"
"11D154","09D180","BAX"
"11D155","09D180","BAX"
"11D156","09D180","BAX"
"11D157","09D180","BAX"
"11D158","10D130","BASSE"
"11D159","10D130","BASSE"
"11D160","10D130","BASSE"
"11D161","10D130","BASSE"
"11D162","10D130","BASSE"
"11D173","08D480","SHAGGY"
"11D181","10D224","SKRUVEN"
"11D182","10D224","SKRUVEN"
"11D207","08D392","JAY"
"11D208","08D392","JAY"
"11D209","08D392","JAY"
"11D210","08D392","JAY"
"11D218","08D304","JAMES"
"11D219","08D304","JAMES"
"11D220","08D304","JAMES"
"11D221","08D304","JAMES"
"11D222","08D304","JAMES"
"11D224","08D304","JAMES"
"11D225","09D029","KARSTEN"
"11D226","09D029","KARSTEN"
"11D227","09D029","KARSTEN"
"11D228","09D029","KARSTEN"
"11D229","09D029","KARSTEN"
"11D230","09D029","KARSTEN"
"11D231","09D029","KARSTEN"
"11D232","09D029","KARSTEN"
"11D233","09D029","KARSTEN"
"11D248","08D191","MYSEN"
"11D260","08D315","SHAGGY"
"11D261","08D315","SHAGGY"
"11D262","08D315","SHAGGY"
"11D263","08D315","SHAGGY"
"11D264","08D315","SHAGGY"
"11D266","09D304","BIKE"
"11D268","09D304","BIKE"
"11D269","09D304","BIKE"
"11D306","09D369","AKIDO"
"11D307","09D369","AKIDO"
"11D308","09D369","AKIDO"
"11D309","09D231","PLUPP"
"11D310","09D231","PLUPP"
"11D311","09D231","PLUPP"
"11D312","09D231","PLUPP"
"11D313","09D231","PLUPP"
"11D314","09D231","PLUPP"
"11D326","06D098","MYSEN"
"11D327","06D098","MYSEN"
"11D328","06D098","MYSEN"
"11D329","06D098","MYSEN"
"11D330","06D098","MYSEN"
"11D338","07D435","JALLE"
"11D339","07D435","JALLE"
"11D341","07D435","JALLE"
"11D342","07D435","JALLE"
"11D343","07D435","JALLE"
"11D344","07D435","JALLE"
"11D345","08D149","SHAGGY"
"11D346","08D149","SHAGGY"
"11D347","08D149","SHAGGY"
"11D350","10D222","PLUPP"
"11D351","10D222","PLUPP"
"11D354","10D222","PLUPP"
"10D204","09D040","PINO"
"10D477","09D275","SHAGGY"
"10D478","09D275","SHAGGY"
"10D479","09D275","SHAGGY"
"10D480","09D275","SHAGGY"
"10D493","09D040","PILSNER"
"10D495","09D040","PILSNER"
"11D041","09D318","BASSE"
"11D042","09D318","BASSE"
"11D043","09D318","BASSE"
"11D045","09D318","BASSE"
"11D255","10D033","BIRK"
"11D257","10D033","BIRK"
"11D258","10D033","BIRK"
"11D272","09D040","GEORGE"
"11D273","09D040","GEORGE"
"11D274","09D040","GEORGE"
"11D275","09D040","GEORGE"
"11D281","09D318","IDEFIX"
"11D283","09D318","IDEFIX"
"11D284","09D318","IDEFIX"
"11D285","09D318","IDEFIX"
"OZZY","09D040","PINO"
"11D191","05D373","OZZY"
"11D192","05D373","OZZY"
"11D193","05D373","OZZY"
"11D194","05D373","OZZY"
"11D362","10D198","OZZY"
"11D363","10D198","OZZY"
"11D366","10D198","OZZY"
